nr. sessions,total km,km Z3-4,km Z5-T1-T2,km sprinting,strength training,hours alternative,perceived exertion,perceived trainingSuccess,perceived recovery,nr. sessions.1,total km.1,km Z3-4.1,km Z5-T1-T2.1,km sprinting.1,strength training.1,hours alternative.1,perceived exertion.1,perceived trainingSuccess.1,perceived recovery.1,nr. sessions.2,total km.2,km Z3-4.2,km Z5-T1-T2.2,km sprinting.2,strength training.2,hours alternative.2,perceived exertion.2,perceived trainingSuccess.2,perceived recovery.2,nr. sessions.3,total km.3,km Z3-4.3,km Z5-T1-T2.3,km sprinting.3,strength training.3,hours alternative.3,perceived exertion.3,perceived trainingSuccess.3,perceived recovery.3,nr. sessions.4,total km.4,km Z3-4.4,km Z5-T1-T2.4,km sprinting.4,strength training.4,hours alternative.4,perceived exertion.4,perceived trainingSuccess.4,perceived recovery.4,nr. sessions.5,total km.5,km Z3-4.5,km Z5-T1-T2.5,km sprinting.5,strength training.5,hours alternative.5,perceived exertion.5,perceived trainingSuccess.5,perceived recovery.5,nr. sessions.6,total km.6,km Z3-4.6,km Z5-T1-T2.6,km sprinting.6,strength training.6,hours alternative.6,perceived exertion.6,perceived trainingSuccess.6,perceived recovery.6,Athlete ID,injury,Date
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1,0.09,0,0.18,1,10.1,5.1,0,0,1,0,0.1,0,0.18,1,0,0,0,0,0,1,0.08,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,22
1,0,0,0,0,1,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1,0.09,0,0.18,1,10.1,5.1,0,0,1,0,0.1,0,0.18,1,0,0,0,0,0,1,0.08,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,5,0,0,1,0,0,0.09,0,0.18,0,0,23
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,0,1,0.09,0,0.18,1,10.1,5.1,0,0,1,0,0.1,0,0.18,1,0,0,0,0,0,1,0.08,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,5,0,0,1,0,0,0.09,0,0.18,1,0,0,0,0,1,0,0.1,0,0.18,0,0,24
1,0,0,0,0,0,1,0.09,0,0.18,1,10.1,5.1,0,0,1,0,0.1,0,0.18,1,0,0,0,0,0,1,0.08,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,5,0,0,1,0,0,0.09,0,0.18,1,0,0,0,0,1,0,0.1,0,0.18,1,12.8,4,0,0,0,0,0.11,0,0.17,0,0,25
1,10.1,5.1,0,0,1,0,0.1,0,0.18,1,0,0,0,0,0,1,0.08,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,5,0,0,1,0,0,0.09,0,0.18,1,0,0,0,0,1,0,0.1,0,0.18,1,12.8,4,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.09,0,0.16,0,0,26
1,0,0,0,0,0,1,0.08,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,5,0,0,1,0,0,0.09,0,0.18,1,0,0,0,0,1,0,0.1,0,0.18,1,12.8,4,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.09,0,0.16,1,11.6,6.6,0,0,1,0,0.11,0,0.17,0,0,27
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,5,0,0,1,0,0,0.09,0,0.18,1,0,0,0,0,1,0,0.1,0,0.18,1,12.8,4,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.09,0,0.16,1,11.6,6.6,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.17,0.09,0,0.16,0,0,28
1,5,0,0,1,0,0,0.09,0,0.18,1,0,0,0,0,1,0,0.1,0,0.18,1,12.8,4,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.09,0,0.16,1,11.6,6.6,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.17,0.09,0,0.16,1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,0,0,29
1,0,0,0,0,1,0,0.1,0,0.18,1,12.8,4,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.09,0,0.16,1,11.6,6.6,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.17,0.09,0,0.16,1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,1,0,0,0,0,1,0,0.08,0,0.16,0,0,30
1,12.8,4,0,0,0,0,0.11,0,0.17,1,0,0,0,0,0,1,0.09,0,0.16,1,11.6,6.6,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.17,0.09,0,0.16,1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,1,0,0,0,0,1,0,0.08,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,31
1,0,0,0,0,0,1,0.09,0,0.16,1,11.6,6.6,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.17,0.09,0,0.16,1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,1,0,0,0,0,1,0,0.08,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,35,0,0,0,0,0,0.09,0,0.17,0,0,32
1,11.6,6.6,0,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.17,0.09,0,0.16,1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,1,0,0,0,0,1,0,0.08,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,35,0,0,0,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,33
1,0,0,0,0,0,1.17,0.09,0,0.16,1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,1,0,0,0,0,1,0,0.08,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,35,0,0,0,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4,0,0,0,0,0,0.09,0,0.16,0,0,34
1,5.2,0,0.3,0.9,0,0,0.1,0,0.16,1,0,0,0,0,1,0,0.08,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,35,0,0,0,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4,0,0,0,0,0,0.09,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,35
1,0,0,0,0,1,0,0.08,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,35,0,0,0,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4,0,0,0,0,0,0.09,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,36
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,35,0,0,0,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4,0,0,0,0,0,0.09,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,37
1,35,0,0,0,0,0,0.09,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4,0,0,0,0,0,0.09,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.18,0,0,38
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4,0,0,0,0,0,0.09,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,39
1,4,0,0,0,0,0,0.09,0,0.16,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,40
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,41
1,4.7,0,0,0.7,0,0,0.1,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,6,0,0,0,0,0,0.08,0,0.17,0,0,42
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.1,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,6,0,0,0,0,0,0.08,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,43
1,0,0,0,0,1,0,0.1,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,6,0,0,0,0,0,0.08,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,44
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,6,0,0,0,0,0,0.08,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.12,0,0.18,0,0,45
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,6,0,0,0,0,0,0.08,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.12,0,0.18,1,11.9,4.5,0,0,0,0,0.11,0,0.16,0,0,46
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,6,0,0,0,0,0,0.08,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.12,0,0.18,1,11.9,4.5,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,0,0,47
1,6,0,0,0,0,0,0.08,0,0.17,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.12,0,0.18,1,11.9,4.5,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,1,9.7,0,4.2,0,1,0,0.11,0,0.17,0,0,48
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.12,0,0.18,1,11.9,4.5,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,1,9.7,0,4.2,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.33,0.1,0,0.17,0,0,49
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.12,0,0.18,1,11.9,4.5,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,1,9.7,0,4.2,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.33,0.1,0,0.17,1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,50
1,0,0,0,0,1,0,0.12,0,0.18,1,11.9,4.5,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,1,9.7,0,4.2,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.33,0.1,0,0.17,1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,51
1,11.9,4.5,0,0,0,0,0.11,0,0.16,1,0,0,0,0,0,1,0.09,0,0.16,1,9.7,0,4.2,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.33,0.1,0,0.17,1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,0,0,52
1,0,0,0,0,0,1,0.09,0,0.16,1,9.7,0,4.2,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.33,0.1,0,0.17,1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,1,0.9,0,0,0.9,0,0,0.1,0,0.16,0,0,53
1,9.7,0,4.2,0,1,0,0.11,0,0.17,1,0,0,0,0,0,1.33,0.1,0,0.17,1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,1,0.9,0,0,0.9,0,0,0.1,0,0.16,1,0,0,0,0,0,1,0.09,0,0.17,0,0,54
1,0,0,0,0,0,1.33,0.1,0,0.17,1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,1,0.9,0,0,0.9,0,0,0.1,0,0.16,1,0,0,0,0,0,1,0.09,0,0.17,1,9.1,3.6,0,0,0,0,0.12,0,0.18,0,0,55
1,4.5,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,1,0.9,0,0,0.9,0,0,0.1,0,0.16,1,0,0,0,0,0,1,0.09,0,0.17,1,9.1,3.6,0,0,0,0,0.12,0,0.18,1,0,0,0,0,0,1.25,0.1,0,0.17,0,0,56
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.18,1,0.9,0,0,0.9,0,0,0.1,0,0.16,1,0,0,0,0,0,1,0.09,0,0.17,1,9.1,3.6,0,0,0,0,0.12,0,0.18,1,0,0,0,0,0,1.25,0.1,0,0.17,1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,57
1,0,0,0,0,1,0,0.11,0,0.18,1,0.9,0,0,0.9,0,0,0.1,0,0.16,1,0,0,0,0,0,1,0.09,0,0.17,1,9.1,3.6,0,0,0,0,0.12,0,0.18,1,0,0,0,0,0,1.25,0.1,0,0.17,1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,58
1,0.9,0,0,0.9,0,0,0.1,0,0.16,1,0,0,0,0,0,1,0.09,0,0.17,1,9.1,3.6,0,0,0,0,0.12,0,0.18,1,0,0,0,0,0,1.25,0.1,0,0.17,1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.17,0,0,59
1,0,0,0,0,0,1,0.09,0,0.17,1,9.1,3.6,0,0,0,0,0.12,0,0.18,1,0,0,0,0,0,1.25,0.1,0,0.17,1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.17,1,6.5,0,1.5,0,0,0,0.12,0,0.17,0,0,60
1,9.1,3.6,0,0,0,0,0.12,0,0.18,1,0,0,0,0,0,1.25,0.1,0,0.17,1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.17,1,6.5,0,1.5,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.17,0.11,0,0.17,0,0,61
1,0,0,0,0,0,1.25,0.1,0,0.17,1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.17,1,6.5,0,1.5,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.17,0.11,0,0.17,1,8.9,4.4,0,0,0,0,0.12,0,0.17,0,0,62
1,5,0,0.5,0.5,0,0,0.11,0,0.18,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.17,1,6.5,0,1.5,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.17,0.11,0,0.17,1,8.9,4.4,0,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.08,0.1,0,0.17,0,0,63
0,0,0,0,0,0,0,-0.01,-0.01,-0.01,1,0,0,0,0,1,0,0.11,0,0.17,1,6.5,0,1.5,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.17,0.11,0,0.17,1,8.9,4.4,0,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.08,0.1,0,0.17,1,5.2,0,0.5,0.7,0,0,0.1,0,0.15,0,0,64
1,0,0,0,0,1,0,0.11,0,0.17,1,6.5,0,1.5,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.17,0.11,0,0.17,1,8.9,4.4,0,0,0,0,0.12,0,0.17,1,0,0,0,0,0,1.08,0.1,0,0.17,1,5.2,0,0.5,0.7,0,0,0.1,0,0.15,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0,65
